CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,LC50
0.973,0.988,1.489,0,1.0,0.18,2.725
3.52,0.223,1.562,0,0.0,2.129,3.629
3.332,0.134,1.068,0,0.0,2.242,3.806
3.26,0.405,1.151,0,0.0,2.11,3.835
3.219,0.811,1.127,0,0.0,2.604,4.257
4.36,0.405,1.228,0,2.0,4.235,6.665
3.003,0.134,1.032,0,0.0,2.152,4.171
2.528,0.58,1.297,0,0.0,1.539,3.025
2.216,0.582,0.839,0,0.0,2.127,3.62
4.029,0.965,1.729,0,0.0,4.038,4.451
5.131,0.134,1.671,0,0.0,5.849,4.628
2.297,0.762,0.798,0,0.0,2.841,3.608
3.739,0.0,1.25,0,2.0,3.267,4.638
2.434,1.17,0.996,0,0.0,1.391,3.575
4.166,0.134,1.556,0,0.0,4.098,5.912
3.067,1.286,1.309,0,0.0,2.223,5.318
4.216,0.223,1.248,0,0.0,5.089,5.896
4.211,0.932,1.045,0,1.0,4.832,8.916
2.677,0.331,1.582,0,1.0,0.586,2.895
2.665,0.251,1.762,0,0.0,-0.534,1.795
3.26,0.811,0.702,0,0.0,4.412,6.298
1.822,0.829,0.834,0,0.0,2.509,3.731
3.026,0.251,2.164,0,0.0,0.314,1.812
3.0,0.0,0.938,0,0.0,2.851,3.513
3.098,0.93,1.075,0,0.0,2.702,6.236
2.804,1.11,0.618,0,2.5,1.317,6.254
3.675,1.112,1.314,0,1.0,3.474,4.706
2.585,0.0,0.917,0,0.0,2.255,3.502
3.734,0.223,1.374,0,2.0,2.642,4.586
3.905,0.56,1.399,0,0.0,2.65,4.947
1.636,0.331,1.265,0,1.0,-0.38,2.766
2.914,0.798,0.975,0,1.0,2.715,4.109
2.684,0.988,1.226,0,1.0,3.076,4.404
1.701,1.443,1.905,0,0.0,2.957,4.44
2.198,0.798,0.79,0,1.0,2.056,3.328
3.333,0.405,0.963,0,0.0,2.974,5.63
3.179,0.0,1.063,0,0.0,2.942,4.091
1.667,1.278,1.5,0,2.0,2.459,3.955
0.667,0.582,1.361,0,0.0,0.202,4.748
1.429,0.223,1.75,0,0.0,-0.317,3.076
2.803,1.501,1.124,0,0.0,4.053,5.385
2.862,1.54,1.226,0,0.0,3.896,6.171
2.748,0.223,1.705,0,0.0,0.8,1.691
3.465,1.9905000000000004,0.888,0,0.0,5.849,3.623
1.075,1.161,0.865,0,1.0,0.024,5.386
2.462,0.223,1.625,0,0.0,0.655,3.654
3.756,0.0,0.964,0,0.0,4.23,4.425
2.441,0.88,1.54,0,2.0,0.057,4.92
4.443,0.251,1.287,0,2.5,4.453,6.483
3.134,0.223,1.319,0,0.0,1.795,2.739
1.975,0.802,0.775,0,0.0,2.799,4.227
2.983,0.496,2.106,0,0.0,-0.521,1.68
3.323,1.232,1.134,0,0.0,4.207,6.5
2.876,0.928,1.372,0,1.0,1.737,6.148
3.315,0.223,0.799,0,0.0,3.127,4.44
3.818,0.693,1.627,0,2.0,2.217,5.522
2.034,0.331,1.56,0,1.0,0.133,2.117
3.353,0.854,1.944,0,0.0,1.297,2.451
2.523,0.56,1.602,0,1.0,0.052,4.384
2.704,0.56,1.965,0,0.0,-0.917,0.15
2.126,1.278,0.896,0,0.0,4.634,5.361
2.857,0.973,1.838,0,2.0,1.121,5.311
2.309,0.907,0.871,0,0.0,3.046,3.782
2.442,0.934,0.984,0,1.0,2.991,4.208
3.605,0.0,1.15,0,0.0,3.562,4.829
3.315,0.223,0.799,0,0.0,3.127,4.507
3.641,0.331,1.933,0,1.0,1.565,2.67
3.311,0.972,2.208,0,2.5,-0.165,4.244
3.252,0.0,1.417,0,0.0,3.124,3.299
2.568,0.582,0.931,0,0.0,2.461,3.594
3.277,0.486,1.416,0,0.0,2.604,5.47
3.461,0.223,1.12,0,0.0,2.813,4.672
4.81,0.693,1.42,0,2.0,5.426,2.548
2.815,0.56,1.585,0,1.0,0.43,4.59
2.544,0.223,1.245,0,0.0,1.064,1.408
2.802,0.223,1.6,0,1.0,1.064,1.999
3.222,0.331,2.177,0,0.0,0.706,1.819
3.315,0.916,1.753,0,2.0,-0.439,2.501
3.199,0.56,2.033,0,0.0,-0.129,1.02
2.536,0.429,0.871,0,1.0,1.237,2.537
2.824,0.223,1.051,0,0.0,1.801,3.168
2.685,0.405,1.145,0,0.0,1.246,3.219
3.134,0.223,1.193,0,0.0,1.548,2.692
3.101,1.535,1.326,0,1.0,1.655,6.238
4.139,0.496,1.43,0,1.0,4.206,5.767
4.324,0.0,1.205,0,1.0,4.738,4.302
2.118,0.956,2.458,0,0.0,-0.406,3.845
2.477,0.83,0.983,0,0.0,3.795,4.54
2.955,0.331,1.313,0,0.0,0.652,2.961
4.141,0.134,1.22,0,0.0,4.833,6.233
2.126,0.405,1.69,0,1.0,0.479,3.573
2.024,0.83,1.761,0,0.0,2.226,3.007
3.027,0.331,1.011,0,1.0,1.807,3.009
4.535,0.56,1.137,0,2.0,4.332,8.571
2.508,0.58,0.941,0,0.0,1.701,3.799
3.11,0.0,1.079,0,0.0,2.42,3.974
2.11,0.58,0.805,0,0.0,1.61,3.787
1.594,0.223,1.068,0,0.0,0.202,4.564
1.512,0.64,1.844,0,0.0,0.347,3.203
1.594,0.223,1.333,0,0.0,0.094,6.297
2.137,0.223,1.179,0,0.0,0.655,3.841
2.094,0.827,0.86,0,0.0,1.886,5.39
2.507,0.405,1.652,0,1.0,0.888,4.603
3.134,0.223,1.319,0,0.0,1.795,4.804
3.036,0.405,1.205,0,0.0,1.807,3.733
2.866,0.223,1.288,0,0.0,1.335,3.411
2.818,0.88,1.488,0,0.0,1.182,3.726
3.668,0.134,1.132,0,0.0,2.502,3.782
3.378,1.38,1.25,0,0.0,1.654,4.854
2.024,0.977,1.328,0,0.0,2.604,5.052
4.285,0.134,1.551,0,0.0,4.379,6.255
4.171,0.693,1.678,0,2.0,2.849,4.851
3.277,0.223,1.869,0,0.0,1.587,2.085
2.62,0.499,0.99,0,0.0,3.21,4.23
3.08,0.223,1.462,0,0.0,1.442,2.494
2.878,0.134,1.684,0,0.0,0.8,2.425
2.802,0.223,1.6,0,1.0,1.064,1.748
4.205,1.512,1.046,0,2.0,2.11,5.002
1.512,0.57,0.879,0,1.0,-0.317,2.445
3.143,0.134,1.641,0,0.0,1.209,2.487
3.323,1.232,1.134,0,0.0,4.207,6.525
2.632,0.429,1.176,0,0.0,1.074,2.975
3.67,0.728,2.11,0,2.5,2.288,2.964
3.393,1.292,2.122,0,2.5,1.595,3.477
3.432,0.638,1.385,0,1.0,1.459,5.339
2.233,0.64,0.92,0,1.0,2.102,3.615
1.0,1.15,0.968,0,1.0,0.996,3.499
1.818,0.499,1.468,0,0.0,1.672,3.546
3.514,0.134,1.07,0,0.0,3.315,7.809
3.014,0.56,1.987,0,1.0,0.538,3.496
2.462,0.223,1.669,0,0.0,0.408,1.524
2.164,1.437,1.227,0,2.0,2.573,6.207
2.961,0.405,1.388,0,0.0,1.58,3.07
2.781,0.711,1.147,0,0.0,1.515,3.846
1.886,1.115,0.653,0,0.0,2.646,4.342
2.802,0.223,1.6,0,1.0,1.064,1.842
2.377,0.827,0.938,0,0.0,2.239,3.91
3.793,0.134,0.93,0,0.0,4.054,6.038
2.333,0.251,1.946,0,0.0,-1.053,2.576
4.05,0.693,1.381,0,2.0,3.618,5.667
3.669,0.486,1.374,0,0.0,3.291,3.701
2.822,0.811,1.524,0,0.0,-1.5829999999999997,0.6
2.297,0.762,0.798,0,0.0,2.841,3.555
2.542,0.429,1.891,0,0.0,0.562,2.12
0.667,1.03,0.906,0,0.0,1.064,5.558
2.495,0.56,0.835,0,0.0,1.099,4.023
2.442,0.934,0.984,0,1.0,3.259,4.208
3.126,0.693,1.69,0,2.0,1.024,4.282
3.41,0.134,1.722,0,0.0,-1.174,3.017
3.734,0.223,1.282,0,0.0,2.502,3.387
3.452,0.331,1.476,0,0.0,2.402,3.87
2.309,0.762,0.845,0,0.0,1.091,3.601
2.634,0.223,0.939,0,0.0,1.834,3.926
2.454,1.075,0.951,0,0.0,2.359,6.317
2.818,0.83,1.386,0,0.0,2.899,3.92
2.16,1.16,1.607,0,0.0,1.94,3.13
2.374,0.811,0.817,0,0.0,2.841,5.277
3.333,0.405,0.963,0,0.0,2.974,4.632
2.233,1.07,0.841,0,0.0,3.377,5.251
3.128,0.713,0.797,0,1.0,4.017,5.039
3.361,0.223,1.342,0,0.0,2.129,5.485
2.665,0.251,1.762,0,0.0,-0.534,1.817
3.57,1.374,2.259,0,0.0,2.05,6.083
3.16,1.028,0.809,0,0.0,3.842,5.939
3.452,0.331,1.098,0,1.0,2.54,3.742
3.9,0.429,1.572,0,1.0,2.297,3.842
2.333,0.251,2.327,0,0.0,-0.241,3.884
2.43,0.496,0.849,0,1.0,1.237,3.133
3.282,0.56,1.749,0,2.0,1.117,3.757
4.327,0.56,1.254,0,2.5,3.399,6.683
1.962,1.345,0.783,0,0.0,3.617,5.352
3.691,0.711,1.073,0,2.0,1.746,5.472
2.24,0.405,1.203,0,0.0,-0.316,2.286
3.728,0.956,1.17,0,0.0,4.789,5.574
3.103,0.134,1.521,0,0.0,2.193,3.267
1.925,1.16,0.801,0,0.0,3.314,4.499
2.479,0.887,0.954,0,0.0,1.748,4.257
2.728,0.223,0.953,0,0.0,1.591,2.371
